iter	Passed	Remaining
1195	50012	9785
1196	50053	9743
1197	50097	9701
1198	50136	9659
1199	50178	9617
1200	50217	9575
1201	50260	9533
1202	50298	9491
1203	50339	9449
1204	50382	9407
1205	50422	9365
1206	50466	9323
1207	50507	9281
1208	50545	9239
1209	50585	9197
1210	50630	9156
1211	50670	9114
1212	50710	9071
1213	50750	9029
1214	50791	8987
1215	50833	8946
1216	50876	8904
1217	50920	8863
1218	50962	8821
1219	51003	8779
1220	51048	8738
1221	51089	8696
1222	51129	8653
1223	51169	8611
1224	51211	8570
1225	51253	8528
1226	51290	8485
1227	51325	8442
1228	51367	8401
1229	51410	8359
1230	51443	8316
1231	51488	8274
1232	51529	8232
1233	51568	8190
1234	51612	8149
1235	51653	8107
1236	51695	8065
1237	51735	8023
1238	51778	7981
1239	51818	7939
1240	51864	7898
1241	51908	7857
1242	51947	7815
1243	51993	7773
1244	52036	7732
1245	52080	7690
1246	52122	7649
1247	52160	7606
1248	52201	7564
1249	52245	7523
1250	52287	7481
1251	52326	7439
1252	52367	7397
1253	52409	7355
1254	52449	7313
1255	52493	7272
1256	52537	7230
1257	52574	7188
1258	52615	7146
1259	52658	7104
1260	52698	7062
1261	52740	7020
1262	52780	6978
1263	52822	6937
1264	52863	6895
1265	52907	6853
1266	52947	6811
1267	52990	6770
1268	53030	6728
1269	53074	6686
1270	53113	6644
1271	53156	6602
1272	53197	6560
1273	53239	6519
1274	53279	6477
1275	53323	6435
1276	53364	6393
1277	53406	6351
1278	53448	6310
1279	53489	6268
1280	53529	6226
1281	53570	6184
1282	53610	6142
1283	53652	6100
1284	53687	6058
1285	53731	6016
1286	53767	5974
1287	53810	5932
1288	53847	5890
1289	53887	5848
1290	53928	5806
1291	53971	5764
1292	54013	5722
1293	54055	5681
1294	54094	5639
1295	54137	5597
1296	54177	5555
1297	54218	5513
1298	54258	5471
1299	54298	5429
1300	54343	5388
1301	54423	5350
1302	54487	5310
1303	54544	5270
1304	54587	5228
1305	54627	5186
1306	54670	5144
1307	54710	5103
1308	54753	5061
1309	54794	5019
1310	54830	4976
1311	54872	4935
1312	54911	4893
1313	54953	4851
1314	54997	4809
1315	55042	4768
1316	55081	4726
1317	55123	4684
1318	55164	4642
1319	55205	4600
1320	55247	4558
1321	55287	4516
1322	55329	4474
1323	55371	4433
1324	55412	4391
1325	55457	4349
1326	55498	4307
1327	55540	4265
1328	55583	4224
1329	55625	4182
1330	55667	4140
1331	55709	4098
1332	55755	4057
1333	55793	4015
1334	55833	3973
1335	55874	3931
1336	55918	3889
1337	55961	3847
1338	56003	3806
1339	56040	3763
1340	56084	3722
1341	56124	3680
1342	56166	3638
1343	56206	3596
1344	56247	3554
1345	56291	3513
1346	56335	3471
1347	56379	3429
1348	56423	3387
1349	56466	3346
1350	56505	3304
1351	56545	3262
1352	56588	3220
1353	56632	3178
1354	56689	3137
1355	56730	3095
1356	56774	3054
1357	56817	3012
1358	56858	2970
1359	56900	2928
1360	56943	2886
1361	56986	2845
1362	57030	2803
1363	57072	2761
1364	57116	2719
1365	57162	2678
1366	57202	2636
1367	57245	2594
1368	57285	2552
1369	57324	2510
1370	57362	2468
1371	57405	2426
1372	57447	2384
1373	57489	2343
1374	57534	2301
1375	57577	2259
1376	57618	2217
1377	57658	2175
1378	57701	2133
1379	57742	2092
1380	57783	2050
1381	57827	2008
1382	57868	1966
1383	57906	1924
1384	57949	1882
1385	57993	1841
1386	58036	1799
1387	58076	1757
1388	58117	1715
1389	58162	1673
1390	58205	1631
1391	58247	1590
1392	58287	1548
1393	58329	1506
1394	58373	1464
1395	58412	1422
1396	58454	1380
1397	58495	1338
1398	58537	1297
1399	58575	1255
1400	58614	1213
1401	58657	1171
1402	58697	1129
1403	58743	1087
1404	58784	1045
1405	58825	1004
1406	58865	962
1407	58923	920
1408	58969	878
1409	59015	837
1410	59059	795
1411	59101	753
1412	59141	711
1413	59179	669
1414	59219	627
1415	59260	585
1416	59305	544
1417	59346	502
1418	59386	460
1419	59429	418
1420	59488	376
1421	59537	334
1422	59581	293
1423	59624	251
1424	59660	209
1425	59703	167
1426	59745	125
1427	59787	83
1428	59831	41
1429	59879	0
